-- id, data, cliente, sistema
"1","1996-04-30","1","4"
"2","1995-02-25","2","7"
"3","1998-08-08","3","3"
"4","1977-03-07","4","6"
"5","2019-07-09","5","4"
"6","1973-12-18","6","2"
"7","1990-07-11","7","8"
"8","1991-10-31","8","9"
"9","2007-07-27","9","6"
"10","1992-04-13","10","2"
"11","2014-06-21","11","6"
"12","2006-05-18","12","5"
"13","1977-01-08","13","5"
"14","1979-02-25","14","1"
"15","1998-12-07","15","5"
"16","1972-07-21","16","2"
"17","2016-12-04","17","4"
"18","1995-09-29","18","9"
"19","2016-01-19","19","7"
"20","1979-06-08","20","4"
"21","2018-07-10","21","3"
"22","2019-06-12","22","4"
"23","2000-03-23","23","9"
"24","2008-09-17","24","8"
"25","2014-03-02","25","3"
"26","1974-07-13","26","4"
"27","1998-02-17","27","7"
"28","2006-07-18","28","2"
"29","2003-04-20","29","1"
"30","1979-09-10","30","5"
"31","2009-11-27","31","7"
"32","2017-07-03","32","8"
"33","1981-01-23","33","8"
"34","1992-08-09","34","8"
"35","1988-11-02","35","3"
"36","2000-07-08","36","4"
"37","1977-09-05","37","3"
"38","1995-03-25","38","6"
"39","1989-10-24","39","6"
"40","1996-04-11","40","5"
"41","1978-09-06","41","9"
"42","1987-03-29","42","1"
"43","2015-07-28","43","3"
"44","1999-11-08","44","6"
"45","2020-04-05","45","7"
"46","1971-10-08","46","9"
"47","1973-03-28","47","3"
"48","2020-07-07","48","9"
"49","1988-03-03","49","7"
"50","2000-12-19","50","4"
"51","2019-11-23","51","5"
"52","2011-03-27","52","8"
"53","2017-06-03","53","3"
"54","2007-12-30","54","5"
"55","2009-10-22","55","9"
"56","1992-03-11","56","9"
"57","2011-03-19","57","3"
"58","1994-10-12","58","4"
"59","2004-01-27","59","4"
"60","1970-04-03","60","8"
"61","1998-01-07","61","2"
"62","1997-11-11","62","8"
"63","2005-03-15","63","5"
"64","1975-07-25","64","3"
"65","1985-06-30","65","7"
"66","1997-03-26","66","8"
"67","1980-10-13","67","4"
"68","1981-09-29","68","6"
"69","2004-11-20","69","9"
"70","2010-01-18","70","8"
"71","2009-09-07","71","1"
"72","1974-07-20","72","9"
"73","1975-11-11","73","6"
"74","1982-08-27","74","5"
"75","1998-07-23","75","9"
"76","2008-10-23","76","7"
"77","2013-12-03","77","8"
"78","2007-03-25","78","5"
"79","1970-12-26","79","6"
"80","2006-02-21","80","1"
"81","1976-11-24","81","1"
"82","2010-09-04","82","8"
"83","1978-01-14","83","4"
"84","1983-03-14","84","7"
"85","1976-11-05","85","5"
"86","1988-07-28","86","5"
"87","1991-03-01","87","1"
"88","2006-12-17","88","4"
"89","2003-10-31","89","6"
"90","2011-09-22","90","5"
"91","1993-08-22","91","9"
"92","1988-04-20","92","6"
"93","2014-01-04","93","5"
"94","1970-03-18","94","3"
"95","1970-11-24","95","9"
"96","1970-12-28","96","6"
"97","2019-09-08","97","9"
"98","2011-01-05","98","8"
"99","1998-08-10","99","8"
"100","1980-02-17","100","5"
"101","1971-02-09","101","9"
"102","2001-06-10","102","3"
"103","1985-10-29","103","8"
"104","1983-05-16","104","7"
"105","1984-07-06","105","4"
"106","1998-01-07","106","8"
"107","1978-10-11","107","8"
"108","1972-08-08","108","2"
"109","2017-05-07","109","5"
"110","2010-05-13","110","6"
"111","2011-07-12","111","8"
"112","2016-02-10","112","1"
"113","1990-05-29","113","4"
"114","1979-06-23","114","4"
"115","1993-06-10","115","6"
"116","2016-11-17","116","3"
"117","1977-09-10","117","1"
"118","1998-04-07","118","1"
"119","2011-04-06","119","6"
"120","1979-10-09","120","2"
"121","1989-01-10","121","9"
"122","1992-12-20","122","9"
"123","2004-08-24","123","4"
"124","1999-09-15","124","1"
"125","2014-04-30","125","2"
"126","1979-11-04","126","4"
"127","1987-12-02","127","1"
"128","2013-12-15","128","9"
"129","1980-04-15","129","3"
"130","1985-05-05","130","7"
"131","1983-05-19","131","1"
"132","2014-01-28","132","4"
"133","2019-08-30","133","1"
"134","2020-02-21","134","2"
"135","1995-03-23","135","2"
"136","2017-09-06","136","2"
"137","1991-10-22","137","2"
"138","1990-06-21","138","4"
"139","1977-08-07","139","7"
