-- id, data, cliente, valor
"1","2008-10-26","1","2468430"
"2","2009-06-25","2","0"
"3","1974-03-21","3","3.36078"
"4","2015-09-04","4","0.29422"
"5","2010-08-08","5","2.96878"
"6","1985-06-08","6","18.7"
"7","2000-02-07","7","412570000"
"8","1977-04-07","8","66416"
"9","2018-08-13","9","86965.2"
"10","1997-07-09","10","25901900"
"11","1999-03-11","11","2182.01"
"12","2002-12-07","12","3530.61"
"13","2007-07-06","13","0"
"14","1995-04-10","14","0"
"15","1975-08-03","15","34466400"
"16","2010-10-13","16","440490000"
"17","1982-12-30","17","0"
"18","1983-08-05","18","30342"
"19","2005-01-06","19","0"
"20","1975-09-15","20","539.364"
"21","1985-04-07","21","0.4897"
"22","1975-08-04","22","0"
"23","1981-06-15","23","765329"
"24","2013-09-11","24","1810320"
"25","1986-01-08","25","39737.9"
"26","2013-06-11","26","0.851152"
"27","1970-08-31","27","0"
"28","2019-08-25","28","63091900"
"29","2002-03-23","29","27387800"
"30","1971-05-07","30","96190.8"
"31","1994-03-02","31","253811"
"32","1987-02-19","32","7339.08"
"33","2015-08-03","33","372.1"
"34","1990-01-23","34","1925.66"
"35","1985-03-17","35","768772"
"36","1998-03-04","36","94018.2"
"37","1994-06-29","37","3944.17"
"38","1994-04-06","38","401"
"39","1996-12-09","39","1111110"
"40","1983-07-31","40","835.005"
"41","1994-04-08","41","417102"
"42","2015-05-02","42","52632200"
"43","1980-05-10","43","33.745"
"44","1980-02-02","44","54.6"
"45","1970-03-16","45","45.4171"
"46","1984-08-19","46","53630100"
"47","1984-06-06","47","0.857117"
"48","1979-04-04","48","2.29"
"49","1983-01-10","49","1.1283"
"50","1977-02-17","50","0"
"51","1973-11-26","51","1.08929"
"52","1982-06-11","52","33.1"
"53","1994-12-29","53","20.0152"
"54","1995-04-07","54","688.82"
"55","1990-01-30","55","0"
"56","2017-01-17","56","3910770"
"57","1974-09-03","57","19469100"
"58","1993-02-09","58","493.526"
"59","2009-09-19","59","0.135839"
"60","2018-06-05","60","58.46"
"61","1970-02-28","61","3.58539"
"62","1981-02-09","62","1725.71"
"63","1995-04-23","63","3.5"
"64","2019-03-01","64","0"
"65","2007-01-21","65","34.0271"
"66","1990-08-17","66","24.41"
"67","2013-06-12","67","77066.1"
"68","2009-04-10","68","35.1595"
"69","1976-09-27","69","25742500"
"70","2017-07-23","70","2667810"
"71","1979-09-08","71","7991"
"72","2004-08-28","72","50.3635"
"73","2004-06-07","73","100.5"
"74","1988-04-12","74","19674.4"
"75","2004-11-17","75","269495"
"76","2000-09-27","76","22995.6"
"77","1980-02-12","77","1349.6"
"78","1988-10-28","78","18.9408"
"79","1978-05-19","79","0.05"
"80","2002-03-21","80","584.9"
"81","1978-12-28","81","0"
"82","1987-10-17","82","760.623"
"83","1997-11-25","83","2386750"
"84","1991-04-23","84","56371600"
"85","1997-07-26","85","1.18986"
"86","1996-05-21","86","74.267"
"87","1984-07-15","87","1035390"
"88","1981-04-16","88","2893.7"
"89","1970-10-20","89","46.5368"
"90","2018-06-08","90","18794.9"
"91","2002-09-16","91","18.1948"
"92","1997-04-13","92","15428300"
"93","2001-06-26","93","4473.52"
"94","2007-05-20","94","0"
"95","2020-09-18","95","0"
"96","1994-03-30","96","9.27"
"97","1993-07-25","97","5.713"
"98","1989-04-13","98","34916800"
"99","2006-04-08","99","168351000"
"100","1989-04-29","100","167595"
"101","1983-09-15","101","887.113"
"102","1983-09-07","102","90.5795"
"103","1999-01-26","103","16859.3"
"104","1991-06-04","104","0"
"105","1985-06-28","105","38.93"
"106","2016-07-09","106","1233.17"
"107","1994-11-30","107","0"
"108","2013-10-13","108","8446.2"
"109","1978-11-11","109","51.54"
"110","2001-02-27","110","11"
"111","1983-04-04","111","394451"
"112","1980-09-13","112","75322400"
"113","1972-08-19","113","1311.75"
"114","1985-12-02","114","69"
"115","1993-06-16","115","0.2"
"116","2009-03-02","116","44"
"117","2007-07-13","117","2420.09"
"118","2012-10-20","118","194720000"
