-- id, data, cliente, valor
"1","1972-09-20","1","2162840"
"2","1975-04-19","2","1650530"
"3","2015-09-16","3","68.7556"
"4","1982-01-16","4","270.584"
"5","2011-12-07","5","0.475948"
"6","1988-01-12","6","15083.5"
"7","1998-09-01","7","0"
"8","2000-12-05","8","6499.37"
"9","2015-11-12","9","3538"
"10","2016-03-10","10","4309.94"
"11","1980-03-19","11","752969"
"12","1997-10-19","12","6.09684"
"13","2010-09-03","13","1698420"
"14","1992-05-11","14","570.67"
"15","2001-09-08","15","0"
"16","2014-12-18","16","49994400"
"17","2004-04-13","17","392159"
"18","1970-09-19","18","71091900"
"19","2020-01-29","19","2210"
"20","2021-01-07","20","1.62674"
"21","1972-10-25","21","3460.5"
"22","2003-09-13","22","6515430"
"23","1995-03-13","23","2311230"
"24","1986-06-21","24","15.7985"
"25","2012-06-13","25","0"
"26","1971-11-28","26","4.3"
"27","2010-07-14","27","1245000"
"28","1997-01-07","28","1861.8"
"29","1996-03-26","29","428727"
"30","2007-08-13","30","0"
"31","2012-09-15","31","3845.35"
"32","1997-07-12","32","4872.32"
"33","2008-02-24","33","239.1"
"34","1999-12-05","34","5148.86"
"35","2004-10-06","35","479491"
"36","1999-12-29","36","1810550"
"37","1995-10-27","37","7"
"38","1970-11-05","38","207739000"
"39","1984-03-25","39","893.296"
"40","1994-10-14","40","195576"
"41","2013-07-26","41","33791"
"42","1993-08-11","42","14174700"
"43","1998-01-21","43","37346.8"
"44","2013-09-11","44","1940"
"45","1994-05-11","45","0"
"46","1991-07-11","46","0"
"47","2020-04-23","47","2112.9"
"48","2012-01-16","48","0"
"49","2006-05-20","49","1366"
"50","1987-11-11","50","0"
"51","1991-03-31","51","64719.2"
"52","2011-11-05","52","211.588"
"53","1980-07-31","53","820789000"
"54","1995-11-26","54","0"
"55","1991-02-19","55","704.79"
"56","2020-08-23","56","8224.41"
"57","1988-06-14","57","32275.8"
"58","1977-12-23","58","27.6266"
"59","2004-09-25","59","50418900"
"60","2016-09-09","60","2187.48"
"61","1986-02-10","61","6547"
"62","1977-04-05","62","257.192"
"63","1995-05-03","63","287550"
"64","1999-10-31","64","0"
"65","2008-08-21","65","289660"
"66","1984-05-31","66","0"
"67","1989-10-20","67","23079800"
"68","1973-03-17","68","598.5"
"69","2005-08-30","69","0"
"70","2000-02-29","70","102"
"71","1978-07-23","71","36059100"
"72","1978-04-28","72","25884000"
"73","1989-01-11","73","2.226"
"74","2000-05-20","74","0"
"75","1985-09-06","75","576869"
"76","1981-06-14","76","6379.6"
"77","1987-07-30","77","1211190"
"78","1995-01-01","78","192712000"
"79","2016-05-17","79","50919600"
"80","2008-10-30","80","58871400"
"81","2018-04-04","81","1.467"
"82","2020-10-28","82","105534"
"83","2005-12-10","83","0.48658"
"84","2003-09-22","84","2605840"
"85","1976-07-28","85","285467000"
"86","1995-10-03","86","0"
"87","1974-04-06","87","1191120"
